nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Japón,125800000,377975,Asia
Brasil,213993437,8515767,América
Alemania,83149300,357022,Europa
Canadá,38000000,9984670,América
China,1439323776,9596961,Asia
Australia,25499884,7692024,Oceanía
Nigeria,206139587,923768,África
Francia,65273511,551695,Europa
Egipto,102334403,1002450,África
India,1380004385,3287263,Asia
México,128932753,1964375,América
España,46754778,505990,Europa
Sudáfrica,59308690,1221037,África
Fiyi,896444,18272,Oceanía
